,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
76,3187232,85974,0.0,3101258.0,5693.803905875964,2.697450326803948
77,3207381,86522,0.0,3120859.0,5729.798918130953,2.697590339283048
78,3225301,88042,0.0,3137259.0,5761.811952009032,2.729729721350038
79,3248215,89610,0.0,3158605.0,5802.746475350678,2.7587459573950617
80,3274397,90698,0.0,3183699.0,5849.519089915179,2.769914582746075
81,3301106,91822,0.0,3209284.0,5897.233159214823,2.7815526069141674
82,3322195,92920,0.0,3229275.0,5934.907426595114,2.7969459950424342
83,3341249,93448,0.0,3247801.0,5968.9462852732895,2.79679844273803
84,3358064,93816,0.0,3264248.0,5998.985301158329,2.7937525907784964
85,3373085,95172,0.0,3277913.0,6025.819440772314,2.8215120579528827
86,3390350,96345,0.0,3294005.0,6056.662355387551,2.8417420030380343
87,3408879,97162,0.0,3311717.0,6089.76333221383,2.8502625056506847
88,3426193,98054,0.0,3328139.0,6120.6937824685765,2.861893652809401
89,3442495,98778,0.0,3343717.0,6149.81635380119,2.869372359291735
90,3456961,99107,0.0,3357854.0,6175.6590183146,2.866882212440349
91,3469231,99411,0.0,3369820.0,6197.5786570246455,2.8655053526271383
92,3480147,100385,0.0,3379762.0,6217.079453777609,2.884504591329045
93,3491698,101311,0.0,3390387.0,6237.714640960962,2.90148231605368
94,3503699,101905,0.0,3401794.0,6259.153726874513,2.90849756214789
95,3516998,102562,0.0,3414436.0,6282.911614014277,2.916180219607745
96,3528695,103106,0.0,3425589.0,6303.8076216745385,2.921930061963417
97,3538194,103334,0.0,3434860.0,6320.7770306481925,2.920529513079272
98,3546803,103544,0.0,3443259.0,6336.156506577678,2.9193614643948367
99,3556039,104277,0.0,3451762.0,6352.656081404572,2.932391911337305
100,3566965,104915,0.0,3462050.0,6372.174742573762,2.9412960317805195
101,3577705,105292,0.0,3472413.0,6391.361125601137,2.943003964832204
102,3588001,105773,0.0,3482228.0,6409.754328548052,2.947964618738958
103,3596965,106170,0.0,3490795.0,6425.767991253581,2.951655075876468
104,3605373,106360,0.0,3499013.0,6440.788392416913,2.9500415074945088
105,3614793,106525,0.0,3508268.0,6457.616672502376,2.9469183989235344
106,3622085,107008,0.0,3515077.0,6470.643404814818,2.95432050876774
107,3630729,107388,0.0,3523341.0,6486.085406201096,2.957753112391478
108,3639352,107654,0.0,3531698.0,6501.489892313299,2.9580540711643173
109,3646745,107954,0.0,3538791.0,6514.697055229629,2.960283759900953
110,3653272,108208,0.0,3545064.0,6526.357159700735,2.961947536345501
111,3658352,108323,0.0,3550029.0,6535.432283143851,2.960978057879613
112,3663090,108422,0.0,3554668.0,6543.896443552017,2.959850836315788
113,3668620,108729,0.0,3559891.0,6553.775465725331,2.963757489192121
