Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-12-10,0.04993428364450862,0.13731611009516265,0.0,0.11854353347497076,0.04993428364450861,0.8042014329158513,2020-12-10
2020-12-11,0.05173242940150648,0.1414277893608843,0.0,0.12282978763425689,0.05173242940150646,0.7979629076518298,2020-12-11
2020-12-12,0.05348727660432444,0.14655282867226538,0.0,0.12698950129117725,0.053487276604324424,0.7940330666185056,2020-12-12
2020-12-13,0.05521158375964662,0.14816022736538037,0.0,0.1311487263747294,0.055211583759646576,0.7840943599528447,2020-12-13
2020-12-14,0.057008021685041085,0.1504199037890347,0.0,0.13546966924315829,0.05700802168504107,0.7750060979995792,2020-12-14
2020-12-15,0.05866602478987894,0.15585943414906867,0.0,0.13938729479613177,0.05866602478987892,0.7726961627245159,2020-12-15
2020-12-16,0.0610200195034369,0.16211431167227697,0.0,0.1449802384286894,0.061020019503436884,0.7669508337303126,2020-12-16
2020-12-17,0.06327043925328378,0.1672160553504245,0.0,0.15034550687166226,0.06327043925328374,0.7601077616538163,2020-12-17
2020-12-18,0.06572690386304476,0.17191012544698492,0.0,0.15622035733767575,0.06572690386304475,0.7513706220235186,2020-12-18
2020-12-19,0.06801489590816608,0.17704681257498278,0.0,0.16167625614045117,0.06801489590816603,0.744728991968511,2020-12-19
2020-12-20,0.07124520915562495,0.17985393637962566,0.0,0.1694724213769414,0.0712452091556249,0.7283896028228833,2020-12-20
2020-12-21,0.07413265009353391,0.1821602040697471,0.0,0.1764453404880017,0.0741326500935339,0.7139603396659626,2020-12-21
2020-12-22,0.0773763246117722,0.1892420765727464,0.0,0.18418434264041167,0.07737632461177216,0.7053837745936269,2020-12-22
2020-12-23,0.0808168016071298,0.1965219619582309,0.0,0.19239774953335137,0.08081680160712978,0.6962572920331895,2020-12-23
2020-12-24,0.08438928393936072,0.20197314013488166,0.0,0.2009705021386078,0.08438928393936071,0.6839318766714768,2020-12-24
2020-12-25,0.08755982308070116,0.2086123956064435,0.0,0.20854094647898608,0.08755982308070115,0.6760689974360286,2020-12-25
2020-12-26,0.09070494566935595,0.21065076351437917,0.0,0.21614607952850712,0.09070494566935597,0.6618393907514508,2020-12-26
2020-12-27,0.09327864789565511,0.21351612640210593,0.0,0.22234436556427412,0.09327864789565507,0.6522692601127285,2020-12-27
2020-12-28,0.09694656787631038,0.21726672335270747,0.0,0.2311848563753084,0.09694656787631031,0.6385799876070644,2020-12-28
2020-12-29,0.10168469550819191,0.22145993733474656,0.0,0.24261845033810497,0.10168469550819187,0.6207128469805101,2020-12-29
